idx,band,song,rough_smooth1_rough5,energy_calm1_intense5,tempo_slow1_fast5,acoustic1_electro5,valence_dark1_bright5,pitch_lo1_hi5,url,notes
0,afterglow,Hey-day狂騒曲(カプリチオ),4,4,3,4,3,3,https://youtu.be/czHlLBls4oo,
4,afterglow,Y.O.L.O!!!!!,4,4,4,4,4,3,https://youtu.be/NWTkdgPu9v8,
9,afterglow,Crow Song,4,4,3,4,4,3,https://youtu.be/mpPPaC8vfsU,
11,ave_mujica,Ave Mujica,5,5,4,5,1,4,https://youtu.be/QDsd0nyzwz0,feature없음(dl실패)
14,ave_mujica,天球のMúsica,4,2,2,4,4,4,https://youtu.be/2Bo-ULStqLo,
18,ave_mujica,顔,5,4,2,5,1,3,https://youtu.be/cVfQBLdIUXk,
20,hello_happy_world,ゴーカ！ごーかい！？ファントムシーフ！,2,4,4,1,4,4,https://youtu.be/35xJFtwHx7Q,
24,hello_happy_world,キミがいなくちゃっ！,1,3,3,2,5,4,https://youtu.be/9itZp8utiAw,
28,hello_happy_world,Listen to Smile!,1,2,1,2,5,4,https://youtu.be/5Bz8TBMardI,
31,morfonica,Feathered Dreams,2,3,3,2,5,4,https://youtu.be/sAnwgtsAzs8,
34,morfonica,Polyphonyscape,2,5,5,2,5,4,https://youtu.be/I6h4Rm32k-I,
39,morfonica,両翼のBrilliance,3,4,3,3,3,3,https://youtu.be/O0jB7IA5tZg,
40,mugendai_mutype,コミュ着火Fire!,4,5,5,5,4,5,https://youtu.be/SI8q0trRdOE,
43,mugendai_mutype,真夜中遊園地,4,5,5,5,4,4,https://youtu.be/KD-EeGTr53I,
49,mugendai_mutype,みゅーたんとミュータント,2,3,4,4,4,4,https://youtu.be/qnHJDWgLkvw,
50,mygo,春日影 (MyGO!!!!! ver.),3,1,1,4,5,3,https://youtu.be/NycFr6D6DSw,
52,mygo,迷星叫,3,3,4,4,4,3,https://youtu.be/V6gq-6dAbHA,
58,mygo,迷路日々,3,4,4,4,4,3,https://youtu.be/d0E91J6UHSw,feature없음(dl실패)
60,pastel_palettes,きゅ～まい＊flower,2,3,3,3,5,4,https://youtu.be/_Y2me3JTTd4,
62,pastel_palettes,DISCOTHEQUE,2,2,3,2,4,4,https://youtu.be/OK782ls3yH8,
68,pastel_palettes,そばかす,3,3,3,4,4,4,https://youtu.be/jSvmpgJLlR4,커버곡
70,poppin_party,Returns,3,1,1,3,3,3,https://youtu.be/zWKV5yudE18,
74,poppin_party,START!! True dreams,3,3,4,3,4,3,https://youtu.be/SQ_-nPf-SNI,
78,poppin_party,B.O.F,3,3,3,2,4,4,https://youtu.be/dW25FkbQC58,
80,raise_a_suilen,EXPOSE 'Burn out!!!',5,5,5,5,3,3,https://youtu.be/oXN2YFZH0ig,
84,raise_a_suilen,HOWLING AMBITION,5,5,4,5,2,2,https://youtu.be/XYMoaMqyf6s,
88,raise_a_suilen,R・I・O・T,5,4,5,5,3,2,https://youtu.be/JYbew8XnCc8,
90,roselia,礎の花冠,4,3,4,4,4,4,https://youtu.be/GyZ4UFCbWZo,
94,roselia,Song I am.,5,4,4,4,3,5,https://youtu.be/Kohn9PRanoY,
99,roselia,Sage der Rosen,4,2,2,1,2,4,https://youtu.be/z0jU3sNiA44,
