feature,group,r2_by_others,VIF
energy,2_composite,0.7533376647067997,4.054125242961514
loudness,1_low-level,0.6761317339893617,3.0876751597736107
acousticness,2_composite,0.5604757445341854,2.2751872907222936
valence,2_composite,0.3315541432183785,1.4960074774263967
danceability,2_composite,0.308911033421698,1.446991702025238
instrumentalness,2_composite,0.30058459768705226,1.4297654822770949
liveness,2_composite,0.12096365998167202,1.1376093961930516
speechiness,2_composite,0.11725678441466103,1.132832269163246
tempo,1_low-level,0.08281021369006158,1.090286890375465
time_signature,1_low-level,0.07062574439472169,1.0759927918906307
duration_ms,1_low-level,0.05206447045441631,1.0549240626937728
mode,1_low-level,0.03998647159284052,1.0416519876122845
key,1_low-level,0.02095762839553239,1.021406252684638
popularity,3_model,0.020247402988679997,1.0206658324259037
