feature,group,F,p,eta_sq
acousticness,2_composite,960.1596491711875,0.0,0.4878881059566779
energy,2_composite,842.8398688467339,0.0,0.455423755836705
instrumentalness,2_composite,832.7962514011818,0.0,0.4524522074629914
loudness,1_low-level,828.2112101742307,0.0,0.45108484890508577
speechiness,2_composite,797.2857390956596,0.0,0.44168077481414614
danceability,2_composite,714.1203601141335,0.0,0.4147155492661748
valence,2_composite,441.15521018520514,0.0,0.3044576585585369
popularity,3_model-predicted,343.5362849981834,0.0,0.2542136920088401
duration_ms,1_low-level,198.56244238237886,0.0,0.16459166149279755
liveness,2_composite,180.1823772035165,0.0,0.15166685028055168
tempo,1_low-level,93.75278382240135,0.0,0.08510719941833662
time_signature,1_low-level,72.64259565871635,0.0,0.06723212694697621
mode,1_low-level,68.24764590320764,0.0,0.06342249399773817
key,1_low-level,5.293715077768376,7.074558875394024e-67,0.005225132220835763
