band,video_id,type,current_name,official_title,album_FILL,name_FILL
afterglow,O3ZcEs4b-uw,,Part of the Life,Part of the Life (TV Size),New Singles,
afterglow,9o7t80l3ycg,,Punchline Halloween!!!,Punchline Halloween!!!,New Singles,
ave_mujica,au2A3wyiLIo,,Angles,Angles,New Singles,
ave_mujica,6bA-vjvi9oI,,DIVINE,DIVINE,New Singles,
ave_mujica,ivXQ21xDHfE,,Sophie,Ave Mujica - Sophie (Official Music Video),New Singles,
ave_mujica,L0Ou9IfobFQ,,‘S/’ The Way,‘S/’ The Way,New Singles,
hello_happy_world,Gvey12GFPwU,,"Egao, mi~kketa!",えがお、み〜っけた！,New Singles,えがお、み〜っけた！
ikka_dumb_rock,BSP-xypGSak,,ホーミー・タイッ！！,ホーミー・タイッ！！,New Singles,
millsage,bzPxdHmMW3s,,起死開戦,起死開戦,New Singles,
morfonica,x9I1W3Aigrc,,Color of Us,Color of Us,New Singles,
morfonica,zpHPneTujSA,,Resonant Strings,Resonant Strings,New Singles,
morfonica,HkruyxEhOPI,,Shining Leaves,Shining Leaves,New Singles,
mygo,wRwQUk0Dl30,,Haruhikage (Original),春日影（アニメ「BanG Dream! It's MyGO!!!!!」#3 挿入歌）,New Singles,春日影
poppin_party,pbDiKPBuTsc,,Chocolate no Teion Recipe,チョコレイトの低音レシピ,New Singles,チョコレイトの低音レシピ
poppin_party,5j2a4m1OQsg,,Chu Chueen!,Chu Chueen!,New Singles,
poppin_party,Y-tnOBf-byo,,Dokidoki SING OUT!,どきどきSING OUT!,New Singles,どきどきSING OUT!
poppin_party,oy6OCnr9eAg,,Freedom,Freedom,New Singles,
poppin_party,X7NS0u628lw,,Game Changer,Game Changer,New Singles,
poppin_party,Fb6Vxj--Fq4,,Hanazono Denki Guitar!!!,花園電気ギター！！！,New Singles,花園電気ギター！！！
poppin_party,vdYlI5BnvPk,,Su-Suki Nanka Janai!,す、好きなんかじゃない！,New Singles,す、好きなんかじゃない！
poppin_party,jTSPnt5kts0,,Tooi Ongaku ~Heartbeat~,遠い音楽 ～ハートビート～,New Singles,遠い音楽 ～ハートビート～
poppin_party,hDgXSuDV51A,,ほな！,ほな！,New Singles,
poppin_party,OuCaAYkV2d8,,世界中の青空をあつめて,世界中の青空をあつめて,New Singles,
poppin_party,HNpDj7g9Fd0,,勇気Limit！,勇気Limit！,New Singles,
raise_a_suilen,JuSc3CMEv34,english,EXPOSE 'Burn out!!!' (English),EXPOSE ‘Burn out!!!’ (English Ver.),New Singles,
raise_a_suilen,ops9Visjdwc,english,Takin' my Heart (English),Takin’ my Heart (English Ver.),New Singles,
raise_a_suilen,5sj1cxlpp5U,,WELCOME TO PANDEMONIUM,WELCOME TO PANDEMONIUM,New Singles,
roselia,qKYf5ozmgsE,,Blessing Chord,Blessing Chord,New Singles,
roselia,WhEs2KF4zNo,,Fear Nothing,Fear Nothing,New Singles,
roselia,68Gwwqp1DK4,,PASSIONATE ANTHEM,PASSIONATE ANTHEM,New Singles,
roselia,eoq81V4BpHQ,,Requiem for Fate,Requiem for Fate,New Singles,
roselia,LAPLzxHzaHY,,Sanctuary,Sanctuary,New Singles,
roselia,BtG1mA_1e0s,,Sunlit Musical,Sunlit Musical,New Singles,
roselia,ZtHU3JLdNoU,,Talk to My Tone,Talk to My Tone,New Singles,
roselia,uXgEOq0544w,,一逢のFull Glory,一逢のFull Glory,New Singles,
roselia,GyZ4UFCbWZo,,礎の花冠,礎の花冠,New Singles,
various_artists,tv1Pf0FE6iw,,"Be shine, shining!","Be shine, shining!",Chispa,
various_artists,hPnvMOyGgzc,,Don't be afraid!,Don't be afraid!,Glitter*Green,
various_artists,8ciuJN6xTIo,,Glee! Glee! Glee!,Glee! Glee! Glee!,Glitter*Green,
various_artists,LuwRRghPD1A,,"Here, the world","Here, the world!",Sumimi,
