song_name,author,current_url,modified_url,plb
DEAD HEAT BEAT,raise_a_suilen,https://youtu.be/U4pbo95vPLw,,region_blocked (KR 지역제한) [UNPLAYABLE]
Our Carol,roselia,https://youtu.be/YFgOepr8D1U,,region_blocked (KR 지역제한) [UNPLAYABLE]
Swear ～Night & Day～,roselia,https://youtu.be/KL3YlXhEnWE,https://youtu.be/q9g4jk1-XCs,region_blocked (KR 지역제한) [UNPLAYABLE]
Don't say “lazy” (Cover),afterglow,https://youtu.be/VWOZG8vE7eE,https://youtu.be/PThqwHLyPpU,region_blocked (KR 지역제한) [UNPLAYABLE]
サムライハート（Some Like It Hot!!） (Cover),afterglow,https://youtu.be/dA_IU486UNM,https://youtu.be/DPCDABZ5uvY,region_blocked (KR 지역제한) [UNPLAYABLE]
ベノム (Cover),afterglow,https://youtu.be/tK6ARQiJjLE,https://youtu.be/MfBRzH_Wva8,region_blocked (KR 지역제한) [UNPLAYABLE]
SHINY DAYS (Cover),hello_happy_world,https://youtu.be/U4CkaLm08Ro,https://youtu.be/w0kOSCWzEx8,region_blocked (KR 지역제한) [UNPLAYABLE]
シルエット (Cover),hello_happy_world,https://youtu.be/t53fOpvfgVI,https://youtu.be/n7U-z7okdBM,region_blocked (KR 지역제한) [UNPLAYABLE]
ノーポイッ！ (Cover),hello_happy_world,https://youtu.be/ZXWuhtz35gs,https://youtu.be/sUrFo5Xw0Lc,region_blocked (KR 지역제한) [UNPLAYABLE]
CQCQ (Cover),morfonica,https://youtu.be/qQyA5U6UBZ8,https://youtu.be/v12Sqv9lA0c,region_blocked (KR 지역제한) [UNPLAYABLE]
V.I.P (Cover),morfonica,https://youtu.be/WV5WozwSolo,https://youtu.be/B4O27f5P8Dk,region_blocked (KR 지역제한) [UNPLAYABLE]
アゲハ蝶 (Cover),morfonica,https://youtu.be/cYSODKzzcFY,https://youtu.be/EG78S0HJvZg,region_blocked (KR 지역제한) [UNPLAYABLE]
ノスタルジックレインフォール (Cover),pastel_palettes,https://youtu.be/KBwwG1JPljU,https://youtu.be/i-jiHiL7G8s,region_blocked (KR 지역제한) [UNPLAYABLE]
夜に駆ける (Cover),pastel_palettes,https://youtu.be/45rUDT1LsoM,https://youtu.be/qr_jUCTw_T0,region_blocked (KR 지역제한) [UNPLAYABLE]
徒花ネクロマンシー (Cover),pastel_palettes,https://youtu.be/xeEE3PQk-sU,https://youtu.be/_G5oGC6aJYs,region_blocked (KR 지역제한) [UNPLAYABLE]
千本桜 (Cover),poppin_party,https://youtu.be/Etgy6v3dcBI,,region_blocked (KR 지역제한) [UNPLAYABLE]
大河よ共に泣いてくれ (Cover),poppin_party,https://youtu.be/veg7lPvuHzc,https://youtu.be/1ZoP4xnF_J0,region_blocked (KR 지역제한) [UNPLAYABLE]
空色デイズ (Cover),poppin_party,https://youtu.be/6iYWGNVzctM,https://youtu.be/Z42iAtQpMNs,region_blocked (KR 지역제한) [UNPLAYABLE]
CORE PRIDE (Cover),raise_a_suilen,https://youtu.be/s6dRFNngbQE,https://youtu.be/sS9JtIVl-Lw,region_blocked (KR 지역제한) [UNPLAYABLE]
DAYBREAK FRONTLINE (Cover),raise_a_suilen,https://youtu.be/6fnHTFegaM4,,region_blocked (KR 지역제한) [UNPLAYABLE]
DEPARTURES (Cover),raise_a_suilen,https://youtu.be/zxmuv-eBMhE,https://youtu.be/TLq1MbV686M,region_blocked (KR 지역제한) [UNPLAYABLE]
KING (Cover),roselia,https://youtu.be/43ZjyUi0KGY,https://youtu.be/mR86Quw762c,region_blocked (KR 지역제한) [UNPLAYABLE]
My Dearest (Cover),roselia,https://youtu.be/ewba9Gqg1cY,https://youtu.be/PeeD7-Mek8k,region_blocked (KR 지역제한) [UNPLAYABLE]
Shangri-La (Cover),roselia,https://youtu.be/SsQzo3w8QKo,https://youtu.be/vpj8rTjY_dw,region_blocked (KR 지역제한) [UNPLAYABLE]
